position_name,slug,reason
Security Engineer,security_engineer,gsc_low_or_no_signal_2026-07-12
MLOps Engineer,mlops_engineer,gsc_low_or_no_signal_2026-07-12
Solutions Architect,solutions_architect,gsc_low_or_no_signal_2026-07-12
Mobile Engineer,mobile_engineer,gsc_low_or_no_signal_2026-07-12
Android Engineer,android_engineer,gsc_low_or_no_signal_2026-07-12
Game Developer,game_developer,gsc_low_or_no_signal_2026-07-12
3D Artist,3d_artist,gsc_low_or_no_signal_2026-07-12
AI Product Manager,ai_product_manager,gsc_low_or_no_signal_2026-07-12
Analytics Manager,analytics_manager,gsc_low_or_no_signal_2026-07-12
Application Architect,application_architect,gsc_low_or_no_signal_2026-07-12
Architect,architect,gsc_low_or_no_signal_2026-07-12
Big Data Engineer,big_data_engineer,gsc_low_or_no_signal_2026-07-12
Blue Team Engineer,blue_team_engineer,gsc_low_or_no_signal_2026-07-12
Brand Marketer,brand_marketer,gsc_low_or_no_signal_2026-07-12
Business Systems Analyst,business_systems_analyst,gsc_low_or_no_signal_2026-07-12
Cloud Application Developer,cloud_application_developer,gsc_low_or_no_signal_2026-07-12
Cloud Database Engineer,cloud_database_engineer,gsc_low_or_no_signal_2026-07-12
Cloud FinOps Manager,cloud_finops_manager,gsc_low_or_no_signal_2026-07-12
Cloud Native Engineer,cloud_native_engineer,gsc_low_or_no_signal_2026-07-12
Cloud Security Engineer,cloud_security_engineer,gsc_low_or_no_signal_2026-07-12
Compliance Engineer,compliance_engineer,gsc_low_or_no_signal_2026-07-12
Computational Biologist,computational_biologist,gsc_low_or_no_signal_2026-07-12
Content Designer,content_designer,gsc_low_or_no_signal_2026-07-12
Content Marketer,content_marketer,gsc_low_or_no_signal_2026-07-12
Content Planner,content_planner,gsc_low_or_no_signal_2026-07-12
Content Strategist,content_strategist,gsc_low_or_no_signal_2026-07-12
Customer Support Engineer,customer_support_engineer,gsc_low_or_no_signal_2026-07-12
Data Quality Analyst,data_quality_analyst,gsc_low_or_no_signal_2026-07-12
Database Developer,database_developer,gsc_low_or_no_signal_2026-07-12
Design System Manager,design_system_manager,gsc_low_or_no_signal_2026-07-12
Desktop Application Developer,desktop_application_developer,gsc_low_or_no_signal_2026-07-12
Developer Advocate,developer_advocate,gsc_low_or_no_signal_2026-07-12
Digital Marketing Manager,digital_marketing_manager,gsc_low_or_no_signal_2026-07-12
Director of UX,director_of_ux,gsc_low_or_no_signal_2026-07-12
E-commerce Manager,e_commerce_manager,gsc_low_or_no_signal_2026-07-12
Electrical Engineer,electrical_engineer,gsc_low_or_no_signal_2026-07-12
Engineering Manager,engineering_manager,gsc_low_or_no_signal_2026-07-12
Engineering Program Manager,engineering_program_manager,gsc_low_or_no_signal_2026-07-12
ERP Developer,erp_developer,gsc_low_or_no_signal_2026-07-12
Event Marketer,event_marketer,gsc_low_or_no_signal_2026-07-12
Frontend Architect,frontend_architect,gsc_low_or_no_signal_2026-07-12
Functional Analyst,functional_analyst,gsc_low_or_no_signal_2026-07-12
Game Artist,game_artist,gsc_low_or_no_signal_2026-07-12
Game Data Analyst,game_data_analyst,gsc_low_or_no_signal_2026-07-12
Game Designer,game_designer,gsc_low_or_no_signal_2026-07-12
Game Planner,game_planner,gsc_low_or_no_signal_2026-07-12
Game Systems Designer,game_systems_designer,gsc_low_or_no_signal_2026-07-12
Growth Manager,growth_manager,gsc_low_or_no_signal_2026-07-12
Hybrid Cloud Engineer,hybrid_cloud_engineer,gsc_low_or_no_signal_2026-07-12
LLM Prompt Engineer,llm_prompt_engineer,gsc_low_or_no_signal_2026-07-12
Marketing Data Analyst,marketing_data_analyst,gsc_low_or_no_signal_2026-07-12
Mobile Developer,mobile_developer,gsc_low_or_no_signal_2026-07-12
Operations Planner,operations_planner,gsc_low_or_no_signal_2026-07-12
Performance Marketer,performance_marketer,gsc_low_or_no_signal_2026-07-12
Platform Planner,platform_planner,gsc_low_or_no_signal_2026-07-12
Project Manager,project_manager,gsc_low_or_no_signal_2026-07-12
Recommendation System Engineer,recommendation_system_engineer,gsc_low_or_no_signal_2026-07-12
Scrum Master,scrum_master,gsc_low_or_no_signal_2026-07-12
Search Ads Specialist,search_ads_specialist,gsc_low_or_no_signal_2026-07-12
Social Media Manager,social_media_manager,gsc_low_or_no_signal_2026-07-12
Sound Designer,sound_designer,gsc_low_or_no_signal_2026-07-12
System Integrator,system_integrator,gsc_low_or_no_signal_2026-07-12
Test Automation Engineer,test_automation_engineer,gsc_low_or_no_signal_2026-07-12
UX Planner,ux_planner,gsc_low_or_no_signal_2026-07-12
UX Strategist,ux_strategist,gsc_low_or_no_signal_2026-07-12
Web Developer,web_developer,gsc_low_or_no_signal_2026-07-12
Web Master,web_master,gsc_low_or_no_signal_2026-07-12
Web Performance Engineer,web_performance_engineer,gsc_low_or_no_signal_2026-07-12
